GeneID	KEGG	Pfam	GO
Gene06965			
Gene06966			
Gene06967		PF03106.14	GO:0003700,GO:0006355,GO:0043565
Gene06968	K11168	PF00106.24,PF08659.9,PF13561.5	
Gene06969			
Gene06970		PF00305.18	GO:0016702,GO:0046872,GO:0055114
Gene06971			
Gene06972	K17800	PF07766.12	
Gene06973			
Gene06974			
Gene06975		PF16528.4	
Gene06976			
Gene06977			
Gene06978			
Gene06979			
Gene06980			
Gene06981		PF13966.5	
Gene06982	K14648	PF09412.9	GO:0016788
Gene06983			
Gene06984			
Gene06985	K02995	PF01201.21	
Gene06986			
Gene06987			
Gene06988		PF00118.23	GO:0005524
Gene06989			
Gene06990			
Gene06991		PF02861.19,PF02861.19	GO:0019538
Gene06992			
Gene06993			
Gene06994			
Gene06995			
Gene06996		PF00689.20	
Gene06997			
Gene06998			
Gene06999			
Gene07000			
Gene07001		PF00855.16	
Gene07002			
Gene07003			
Gene07004			
Gene07005		PF00782.19	GO:0008138,GO:0016311
Gene07006		PF03106.14	GO:0003700,GO:0006355,GO:0043565
Gene07007			
Gene07008			
Gene07009			
Gene07010			
Gene07011			
Gene07012			
Gene07013			
Gene07014		PF12589.7	
Gene07015			
Gene07016			
Gene07017	K19828		
Gene07018			
Gene07019		PF00571.27,PF00571.27	
Gene07020			
Gene07021			
Gene07022		PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene07023		PF01107.17	
Gene07024			
Gene07025		PF07714.16,PF00069.24,PF11883.7	GO:0004672,GO:0004674,GO:0005524,GO:0006468
Gene07026			
Gene07027			
Gene07028			
Gene07029			
Gene07030		PF00400.31,PF00400.31	GO:0005515
Gene07031			
Gene07032		PF00646.32,PF07723.12	GO:0005515
Gene07033		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene07034			
Gene07035		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene07036			
Gene07037		PF05879.11	
Gene07038		PF04720.11	
Gene07039	K20824		
Gene07040			
Gene07041	K09495	PF00118.23,PF00118.23	GO:0005524
Gene07042			
Gene07043			
Gene07044		PF00690.25,PF00122.19	
Gene07045			
Gene07046	K13379	PF03214.12	GO:0016866,GO:0030244
Gene07047		PF01582.19	GO:0005515,GO:0007165
Gene07048	K21989	PF02714.14	GO:0016020
Gene07049			
Gene07050		PF13855.5,PF00560.32	GO:0005515
Gene07051			
Gene07052			
Gene07053		PF13912.5,PF13894.5,PF00096.25	
Gene07054			
Gene07055		PF00294.23	
Gene07056			
Gene07057			
Gene07058			
Gene07059		PF08263.11	
Gene07060			
Gene07061			
Gene07062			
Gene07063		PF13812.5,PF13041.5,PF01535.19,PF12854.6,PF01535.19,PF13812.5,PF12854.6,PF01535.19,PF12854.6,PF13812.5,PF13041.5,PF01535.19,PF17177.3,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19	
Gene07064			
Gene07065			
Gene07066			
Gene07067		PF00316.19	
Gene07068			
Gene07069			
Gene07070			
Gene07071			
Gene07072			
Gene07073			
Gene07074		PF01501.19	GO:0016757
Gene07075			
Gene07076		PF00752.16	GO:0004518,GO:0006281
Gene07077		PF12576.7	
Gene07078		PF00061.22,PF08212.11	
Gene07079		PF00012.19,PF10712.8	
Gene07080			
Gene07081			
Gene07082		PF00646.32	GO:0005515
Gene07083			
Gene07084			
Gene07085			
Gene07086		PF13041.5,PF01535.19,PF01535.19,PF01535.19	
Gene07087		PF00984.18,PF03720.14	GO:0016616,GO:0051287,GO:0055114
Gene07088		PF13793.5	
Gene07089			
Gene07090			
Gene07091		PF10780.8	
Gene07092			
Gene07093			
Gene07094			
Gene07095		PF01434.17	GO:0004222,GO:0005524,GO:0006508
Gene07096	K22047	PF00924.17	GO:0016020,GO:0055085
Gene07097		PF07714.16	GO:0004672,GO:0006468
Gene07098			
Gene07099			
Gene07100			
Gene07101		PF00004.28	GO:0005524
Gene07102			
Gene07103			
Gene07104			
Gene07105		PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF01535.19,PF14432.5	GO:0008270
Gene07106		PF13306.5,PF00560.32,PF13516.5,PF00560.32	GO:0005515
Gene07107		PF03080.14	
Gene07108	K02335	PF01612.19	GO:0003676,GO:0006139,GO:0008408
Gene07109		PF01336.24	GO:0003676
Gene07110		PF00249.30,PF13921.5	
Gene07111	K05543		
Gene07112		PF00931.21,PF00931.21	GO:0043531
Gene07113			
Gene07114		PF00514.22	GO:0005515
Gene07115			
Gene07116			
Gene07117			
Gene07118			
Gene07119			
Gene07120	K01528	PF01031.19	GO:0005525
Gene07121			
Gene07122			
Gene07123			
Gene07124		PF14542.5	
Gene07125		PF04043.14,PF01095.18	GO:0004857,GO:0005618,GO:0030599,GO:0042545
Gene07126			
Gene07127		PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF17177.3,PF13812.5,PF01535.19,PF13041.5,PF01535.19,PF13812.5,PF01535.19	
Gene07128	K00703	PF16760.4	GO:2001070
Gene07129			
Gene07130		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene07131	K00430	PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene07132			
Gene07133			
Gene07134			
Gene07135			
Gene07136		PF13839.5	
Gene07137		PF01985.20	GO:0003723
Gene07138			
Gene07139		PF00646.32	GO:0005515
Gene07140		PF00149.27	GO:0016787
Gene07141			
Gene07142			
Gene07143			
Gene07144			
Gene07145			
Gene07146		PF13432.5,PF13181.5,PF13432.5,PF00515.27,PF07719.16,PF13181.5	GO:0005515
Gene07147		PF08387.9	
Gene07148		PF12552.7	
Gene07149	K10664		
Gene07150	K22285		
Gene07151			
Gene07152		PF06045.10	
Gene07153			
Gene07154		PF00117.27	
Gene07155		PF13041.5,PF13812.5,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF01535.19	
Gene07156		PF01095.18	GO:0005618,GO:0030599,GO:0042545
Gene07157		PF12765.6,PF02985.21	GO:0005515
Gene07158		PF00082.21	GO:0004252,GO:0006508
Gene07159	K10742		
Gene07160			
Gene07161			
Gene07162			
Gene07163			
Gene07164			
Gene07165		PF08787.10	
Gene07166		PF11955.7	
Gene07167		PF02358.15	GO:0003824,GO:0005992
Gene07168			
Gene07169			
Gene07170		PF03168.12	
Gene07171			
Gene07172			
Gene07173	K02982	PF00189.19	GO:0003735,GO:0005840,GO:0006412
Gene07174	K22399		
Gene07175		PF00614.21	GO:0003824
Gene07176			
Gene07177		PF00689.20	
Gene07178			
Gene07179		PF14476.5	
Gene07180			
Gene07181			
Gene07182			
Gene07183	K17925		
Gene07184			
Gene07185			
Gene07186			
Gene07187			
Gene07188		PF11250.7	
Gene07189	K03355		
Gene07190			
Gene07191			
Gene07192		PF13359.5	
Gene07193			
Gene07194	K08232	PF07992.13,PF00070.26	GO:0016491,GO:0055114
Gene07195			
Gene07196		PF00407.18	GO:0006952,GO:0009607
Gene07197		PF03018.13	
Gene07198		PF00079.19	
Gene07199			
Gene07200			
Gene07201			
Gene07202	K17973		
Gene07203			
Gene07204			
Gene07205			
Gene07206			
Gene07207			
Gene07208			
Gene07209		PF05641.11	
Gene07210			
Gene07211		PF02065.17,PF16499.4	GO:0004553,GO:0004557,GO:0005975
Gene07212			
Gene07213			
Gene07214		PF00106.24,PF08659.9,PF13561.5,PF00106.24	
Gene07215			
Gene07216			
Gene07217			
Gene07218			
Gene07219			
Gene07220			
Gene07221			
Gene07222			
Gene07223			
Gene07224			
Gene07225			
Gene07226	K13217		
Gene07227		PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF14432.5	GO:0008270
Gene07228	K01051	PF04043.14,PF01095.18	GO:0004857,GO:0005618,GO:0030599,GO:0042545
Gene07229	K05955	PF01239.21,PF01239.21,PF01239.21	GO:0008318,GO:0018342
Gene07230			
Gene07231			
Gene07232			
Gene07233			
Gene07234			
Gene07235		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene07236			
Gene07237	K20558		
Gene07238			
Gene07239		PF04997.11	GO:0003677,GO:0003899,GO:0006351
Gene07240			
Gene07241			
Gene07242		PF07714.16	GO:0004672,GO:0006468
Gene07243			
Gene07244			
Gene07245		PF04819.11	
Gene07246			
Gene07247			
Gene07248			
Gene07249		PF00931.21	GO:0043531
Gene07250		PF13833.5,PF13202.5	GO:0005509
Gene07251		PF14383.5	
Gene07252			
Gene07253			
Gene07254			
Gene07255			
Gene07256			
Gene07257			
Gene07258			
Gene07259		PF00702.25	
Gene07260			
Gene07261		PF01764.24	GO:0006629
Gene07262	K03797		
Gene07263		PF03552.13	GO:0016020,GO:0016760,GO:0030244
Gene07264			
Gene07265			
Gene07266			
Gene07267	K20889	PF03016.14	
Gene07268			
Gene07269			
Gene07270			
Gene07271			
Gene07272			
Gene07273		PF01985.20	GO:0003723
Gene07274	K14411	PF00076.21	GO:0003676
Gene07275			
Gene07276			
Gene07277			
Gene07278			
Gene07279			
Gene07280			
Gene07281			
Gene07282	K13128	PF00098.22,PF14392.5	GO:0003676,GO:0008270
Gene07283			
Gene07284			
Gene07285			
Gene07286			
Gene07287			
Gene07288		PF00646.32	GO:0005515
Gene07289			
Gene07290			
Gene07291			
Gene07292		PF02018.16	GO:0016798
Gene07293	K00166	PF00676.19	GO:0008152,GO:0016624
Gene07294		PF00270.28	GO:0003676,GO:0005524
Gene07295		PF00149.27	GO:0016787
Gene07296		PF06925.10	GO:0009247,GO:0016758
Gene07297			
Gene07298			
Gene07299			
Gene07300		PF04819.11	
Gene07301			
Gene07302			
Gene07303		PF00071.21	GO:0003924,GO:0005525
Gene07304		PF01852.18	GO:0008289
Gene07305		PF01479.24	GO:0003723
Gene07306		PF00931.21	GO:0043531
Gene07307			
Gene07308			
Gene07309			
Gene07310			
Gene07311			
Gene07312		PF05773.21	GO:0005515
Gene07313		PF01107.17	
Gene07314	K01358		
Gene07315			
Gene07316	K10779		
Gene07317	K06670	PF04825.12	GO:0005515
Gene07318		PF00355.25	GO:0016491,GO:0051537,GO:0055114
Gene07319			
Gene07320			
Gene07321			
Gene07322		PF06479.11	GO:0004540,GO:0006397
Gene07323		PF01344.24	GO:0005515
Gene07324			
Gene07325			
Gene07326			
Gene07327			
Gene07328		PF01061.23	GO:0016020
Gene07329			
Gene07330			
Gene07331	K17278	PF00173.27	
Gene07332		PF09011.9,PF00505.18	
Gene07333	K02864	PF00466.19	GO:0005622,GO:0042254
Gene07334		PF03195.13	
Gene07335			
Gene07336		PF01477.22	GO:0005515
Gene07337		PF03514.13	
Gene07338			
Gene07339			
Gene07340			
Gene07341		PF14878.5,PF14633.5	
Gene07342			
Gene07343		PF03966.15	
Gene07344			
Gene07345		PF13947.5	GO:0030247
Gene07346			
Gene07347			
Gene07348			
Gene07349		PF01095.18	GO:0005618,GO:0030599,GO:0042545
Gene07350			
Gene07351		PF00931.21,PF05729.11,PF00004.28,PF00931.21	GO:0005524,GO:0043531
Gene07352		PF01301.18,PF02449.14	GO:0004565,GO:0005975,GO:0009341
Gene07353			
Gene07354			
Gene07355		PF00400.31	GO:0005515
Gene07356		PF02365.14	GO:0003677,GO:0006355
Gene07357			
Gene07358			
Gene07359			
Gene07360		PF13458.5,PF01094.27	
Gene07361		PF00005.26,PF00005.26	GO:0005524,GO:0016887
Gene07362		PF03321.12	
Gene07363			
Gene07364			
Gene07365		PF07714.16	GO:0004672,GO:0006468
Gene07366			
Gene07367			
Gene07368			
Gene07369			
Gene07370		PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene07371		PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF13812.5,PF01535.19,PF01535.19	
Gene07372			
Gene07373			
Gene07374			
Gene07375		PF01650.17	GO:0006508,GO:0008233
Gene07376			
Gene07377	K02931	PF00673.20	
Gene07378			
Gene07379		PF14008.5	
Gene07380	K03676	PF00462.23	GO:0009055,GO:0015035,GO:0045454
Gene07381			
Gene07382	K07304		
Gene07383			
Gene07384		PF00125.23,PF00808.22,PF16211.4	GO:0003677
Gene07385			
Gene07386			
Gene07387			
Gene07388			
Gene07389			
Gene07390		PF07000.10	
Gene07391		PF15787.4	
Gene07392			
Gene07393		PF04987.13	GO:0005789,GO:0006506,GO:0016740
Gene07394			
Gene07395		PF00582.25	GO:0006950
Gene07396			
Gene07397		PF07911.12	
Gene07398	K06694	PF12796.6,PF13637.5,PF00023.29,PF13606.5,PF00023.29	GO:0005515
Gene07399	K11430		
Gene07400			
Gene07401			
Gene07402			
Gene07403		PF03104.18	GO:0008408
Gene07404			
Gene07405			
Gene07406			
Gene07407			
Gene07408			
Gene07409			
Gene07410			
Gene07411	K14559	PF04006.11	GO:0005634,GO:0005732,GO:0006364,GO:0034457
Gene07412		PF00305.18	GO:0016702,GO:0046872,GO:0055114
Gene07413		PF00931.21	GO:0043531
Gene07414			
Gene07415		PF00704.27	GO:0005975
Gene07416	K05396		
Gene07417			
Gene07418		PF13456.5	
Gene07419			
Gene07420			
Gene07421		PF13086.5,PF13245.5	
Gene07422			
Gene07423	K22312	PF00685.26,PF13469.5	GO:0008146
Gene07424			
Gene07425	K00799		
Gene07426	K10589		
Gene07427			
Gene07428			
Gene07429			
Gene07430		PF00168.29	
Gene07431			
Gene07432		PF04564.14	GO:0004842,GO:0016567
Gene07433		PF03106.14	GO:0003700,GO:0006355,GO:0043565
Gene07434	K14961		
Gene07435		PF01061.23	GO:0016020
Gene07436			
Gene07437			
Gene07438			
Gene07439			
Gene07440			
Gene07441			
Gene07442		PF00689.20	
Gene07443			
Gene07444			
Gene07445			
Gene07446		PF07250.10,PF09118.10	
Gene07447			
Gene07448			
Gene07449		PF01535.19,PF12854.6,PF13812.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF01535.19	
Gene07450		PF14309.5	
Gene07451			
Gene07452			
Gene07453			
Gene07454			
Gene07455		PF00931.21,PF01582.19	GO:0043531
Gene07456			
Gene07457			
Gene07458		PF03109.15	
Gene07459			
Gene07460		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene07461			
Gene07462			
Gene07463			
Gene07464		PF00294.23	
Gene07465		PF08295.11	
Gene07466		PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF13812.5,PF01535.19	
Gene07467			
Gene07468			
Gene07469			
Gene07470			
Gene07471			
Gene07472			
Gene07473			
Gene07474	K13168		
Gene07475		PF13181.5	GO:0005515
Gene07476			
Gene07477		PF14543.5,PF00026.22	
Gene07478		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene07479			
Gene07480	K02213	PF13401.5	
Gene07481			
Gene07482		PF04570.13	
Gene07483		PF00923.18	GO:0005975
Gene07484		PF03552.13	GO:0016020,GO:0016760,GO:0030244
Gene07485			
Gene07486		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene07487			
Gene07488			
Gene07489			
Gene07490			
Gene07491			
Gene07492		PF08387.9	
Gene07493			
Gene07494		PF00931.21	GO:0043531
Gene07495			
Gene07496			
Gene07497			
Gene07498			
Gene07499		PF00664.22	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085
Gene07500			
Gene07501			
Gene07502			
Gene07503			
Gene07504	K01427	PF01979.19	GO:0016787
Gene07505			
Gene07506		PF00076.21	GO:0003676
Gene07507			
Gene07508		PF07723.12	
Gene07509			
Gene07510			
Gene07511		PF03088.15,PF08450.11	GO:0009058,GO:0016844
Gene07512			
Gene07513			
Gene07514		PF03171.19	GO:0016491,GO:0055114
Gene07515	K06173		
Gene07516			
Gene07517			
Gene07518		PF00324.20,PF13520.5	GO:0003333,GO:0006810,GO:0015171,GO:0016020,GO:0055085
Gene07519		PF00646.32,PF12937.6	GO:0005515
Gene07520			
Gene07521			
Gene07522			
Gene07523			
Gene07524		PF00295.16	GO:0004650,GO:0005975
Gene07525		PF04520.12	
Gene07526	K13681	PF03254.12	GO:0008107,GO:0016020,GO:0042546
Gene07527			
Gene07528		PF07969.10	
Gene07529			
Gene07530		PF00337.21	GO:0030246
Gene07531			
Gene07532			
Gene07533	K14539		
Gene07534		PF01426.17	GO:0003682
Gene07535			
Gene07536	K03327	PF01554.17	GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085
Gene07537			
Gene07538			
Gene07539			
Gene07540			
Gene07541			
Gene07542			
Gene07543		PF05097.11	
Gene07544		PF01167.17	
Gene07545		PF02434.15,PF04646.11	GO:0016020,GO:0016757
Gene07546			
Gene07547		PF08263.11,PF00560.32,PF13855.5,PF00560.32,PF00560.32	GO:0005515
Gene07548			
Gene07549		PF00891.17	GO:0008171
Gene07550		PF05030.11	GO:0003713
Gene07551			
Gene07552			
Gene07553		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene07554			
Gene07555			
Gene07556			
Gene07557			
Gene07558		PF00113.21	
Gene07559			
Gene07560			
Gene07561		PF13639.5,PF13923.5,PF17123.4,PF00097.24,PF13445.5	GO:0046872
Gene07562			
Gene07563		PF01734.21	GO:0006629
Gene07564			
Gene07565			
Gene07566	K06111		
Gene07567		PF00314.16	
Gene07568		PF07716.14,PF00170.20	GO:0003700,GO:0006355
Gene07569		PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF13812.5,PF01535.19,PF01535.19	
Gene07570	K11108	PF05189.12,PF01137.20	
Gene07571			
Gene07572			
Gene07573			
Gene07574			
Gene07575			
Gene07576			
Gene07577		PF03469.13	
Gene07578			
Gene07579	K21596	PF01833.23	
Gene07580			
Gene07581		PF06813.12	
Gene07582	K00006	PF01210.22,PF07479.13	GO:0004367,GO:0005975,GO:0016616,GO:0046168,GO:0051287,GO:0055114
Gene07583	K17098	PF00191.19,PF00191.19,PF00191.19	GO:0005509,GO:0005544
Gene07584		PF00450.21	GO:0004185,GO:0006508
Gene07585			
Gene07586			
Gene07587		PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene07588	K12402	PF00928.20	
Gene07589			
Gene07590	K14638	PF00854.20	GO:0005215,GO:0006810,GO:0016020
Gene07591			
Gene07592		PF03168.12	
Gene07593	K20029		
Gene07594			
Gene07595			
Gene07596			
Gene07597		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene07598			
Gene07599		PF13793.5	
Gene07600		PF01535.19,PF12854.6,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF13041.5,PF01535.19	
Gene07601			
Gene07602			
Gene07603			
Gene07604		PF01063.18	GO:0003824,GO:0008152
Gene07605			
Gene07606		PF00013.28,PF00013.28	GO:0003723
Gene07607			
Gene07608		PF07716.14,PF00170.20	GO:0003700,GO:0006355
Gene07609		PF02458.14	GO:0016747
Gene07610			
Gene07611			
Gene07612			
Gene07613	K01183	PF00704.27	GO:0005975
Gene07614	K14432		
Gene07615	K01714	PF00701.21	GO:0008152,GO:0016829
Gene07616		PF01061.23	GO:0016020
Gene07617		PF00650.19	
Gene07618			
Gene07619			
Gene07620	K11797	PF06507.12,PF00439.24	GO:0003677,GO:0005515,GO:0005634,GO:0006355,GO:0009725
Gene07621		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene07622			
Gene07623		PF03171.19	GO:0016491,GO:0055114
Gene07624			
Gene07625			
Gene07626			
Gene07627			
Gene07628			
Gene07629			
Gene07630			
Gene07631			
Gene07632			
Gene07633		PF00319.17	GO:0003677,GO:0046983
Gene07634			
Gene07635		PF00481.20	GO:0003824
Gene07636	K01358		
Gene07637			
Gene07638			
Gene07639		PF02127.14	GO:0004177,GO:0006508,GO:0008270
Gene07640		PF04734.12,PF17048.4	
Gene07641			
Gene07642			
Gene07643			
Gene07644		PF01490.17	
Gene07645		PF12933.6	
Gene07646		PF02214.21	GO:0051260
Gene07647		PF13365.5,PF00089.25	GO:0004252,GO:0006508
Gene07648			
Gene07649		PF01190.16	
Gene07650		PF00534.19,PF13692.5	
Gene07651			
Gene07652			
Gene07653			
Gene07654			
Gene07655		PF02458.14	GO:0016747
Gene07656		PF00487.23	GO:0006629
Gene07657			
Gene07658			
Gene07659			
Gene07660			
Gene07661	K01126		
Gene07662		PF14432.5	GO:0008270
Gene07663		PF13839.5	
Gene07664			
Gene07665			
Gene07666			
Gene07667		PF13839.5	
Gene07668		PF00005.26	GO:0005524,GO:0016887
Gene07669		PF09786.8	
Gene07670	K18010	PF04432.12	
Gene07671		PF13516.5,PF13516.5	GO:0005515
Gene07672		PF00125.23	GO:0003677
Gene07673			
Gene07674		PF00170.20	GO:0003700,GO:0006355
Gene07675		PF03219.13	GO:0005471,GO:0005524,GO:0006810,GO:0016021
Gene07676		PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene07677			
Gene07678		PF03169.14	GO:0055085
Gene07679			
Gene07680		PF02990.15	GO:0016021
Gene07681		PF01569.20	
Gene07682		PF00954.19,PF08276.10,PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468,GO:0048544
Gene07683			
Gene07684			
Gene07685	K16276		
Gene07686			
Gene07687			
Gene07688			
Gene07689			
Gene07690			
Gene07691			
Gene07692			
Gene07693		PF03080.14	
Gene07694			
Gene07695		PF00005.26	GO:0005524,GO:0016887
Gene07696			
Gene07697			
Gene07698		PF12678.6,PF12861.6,PF13639.5,PF17123.4,PF00097.24,PF13445.5	GO:0004842,GO:0005680,GO:0008270,GO:0046872
Gene07699	K00854	PF00370.20	GO:0005975,GO:0016773
Gene07700			
Gene07701		PF00122.19,PF13246.5	
Gene07702			
Gene07703		PF01388.20	GO:0003677
Gene07704			
Gene07705			
Gene07706		PF09369.9	
Gene07707		PF01370.20,PF16363.4,PF01073.18	GO:0003824,GO:0003854,GO:0006694,GO:0016616,GO:0050662,GO:0055114
Gene07708	K00820		
Gene07709			
Gene07710			
Gene07711			
Gene07712			
Gene07713		PF01409.19	GO:0000049,GO:0004812,GO:0005524,GO:0005737,GO:0043039
Gene07714			
Gene07715			
Gene07716			
Gene07717			
Gene07718			
Gene07719		PF01988.18	
Gene07720			
Gene07721			
Gene07722		PF09756.8	
Gene07723			
Gene07724			
Gene07725			
Gene07726			
Gene07727		PF00168.29	
Gene07728		PF10536.8	
Gene07729			
Gene07730		PF00931.21	GO:0043531
Gene07731			
Gene07732	K02705		
Gene07733	K02320	PF00136.20	GO:0000166,GO:0003677
Gene07734			
Gene07735		PF08263.11,PF00560.32,PF12799.6,PF13516.5,PF00560.32,PF00069.24,PF07714.16	GO:0004672,GO:0005515,GO:0005524,GO:0006468
Gene07736			
Gene07737			
Gene07738		PF00400.31	GO:0005515
Gene07739			
Gene07740			
Gene07741		PF08212.11	
Gene07742	K13496	PF00201.17	GO:0008152,GO:0016758
Gene07743	K03283	PF00012.19,PF06723.12	GO:0000902
Gene07744	K17479		
Gene07745		PF12854.6,PF01535.19	
Gene07746		PF01535.19,PF01535.19	
Gene07747		PF03087.13	
Gene07748			
Gene07749		PF12937.6,PF13516.5	GO:0005515
Gene07750	K09493	PF00118.23	GO:0005524
Gene07751		PF05922.15,PF00082.21	GO:0004252,GO:0006508
Gene07752			
Gene07753			
Gene07754			
Gene07755	K08202	PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene07756			
Gene07757			
Gene07758		PF02298.16	GO:0009055
Gene07759		PF05623.11	
Gene07760	K18423	PF08506.9,PF03378.14	GO:0005515,GO:0006886
Gene07761			
Gene07762		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene07763	K14175	PF03936.15	GO:0000287,GO:0010333,GO:0016829
Gene07764			
Gene07765			
Gene07766			
Gene07767	K01770		
Gene07768			
Gene07769		PF00890.23	
Gene07770			
Gene07771			
Gene07772			
Gene07773		PF00646.32	GO:0005515
Gene07774			
Gene07775			
Gene07776			
Gene07777		PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene07778			
Gene07779			
Gene07780			
Gene07781			
Gene07782		PF02365.14	GO:0003677,GO:0006355
Gene07783	K21842		
Gene07784		PF00701.21	GO:0008152,GO:0016829
Gene07785			
Gene07786			
Gene07787			
Gene07788			
Gene07789		PF13041.5,PF01535.19,PF01535.19,PF13812.5,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF01535.19	
Gene07790		PF00069.24,PF07714.16,PF01422.16	GO:0003700,GO:0004672,GO:0005524,GO:0005634,GO:0006355,GO:0006468,GO:0008270
Gene07791	K07204	PF00400.31	GO:0005515
Gene07792		PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene07793		PF14226.5	
Gene07794			
Gene07795			
Gene07796			
Gene07797		PF07648.14	GO:0005515
Gene07798		PF14577.5,PF14577.5	
Gene07799			
Gene07800			
Gene07801			
Gene07802			
Gene07803			
Gene07804			
Gene07805		PF02733.16	GO:0004371,GO:0006071
Gene07806		PF08030.11	GO:0016491,GO:0055114
Gene07807		PF03162.12	
Gene07808			
Gene07809		PF11886.7	
Gene07810			
Gene07811		PF00076.21	GO:0003676
Gene07812			
Gene07813		PF02458.14	GO:0016747
Gene07814		PF10374.8	
Gene07815			
Gene07816			
Gene07817			
Gene07818			
Gene07819	K01358	PF00574.22	
Gene07820			
Gene07821		PF03641.13	
Gene07822		PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene07823	K03123		
Gene07824			
Gene07825			
Gene07826	K17824	PF03556.14	
Gene07827		PF00646.32,PF12937.6,PF07723.12	GO:0005515
Gene07828			
Gene07829			
Gene07830	K16281	PF12861.6,PF13639.5,PF17123.4,PF00097.24,PF13445.5	GO:0004842,GO:0005680,GO:0046872
Gene07831		PF03552.13	GO:0016020,GO:0016760,GO:0030244
Gene07832		PF02535.21	GO:0016020,GO:0030001,GO:0046873,GO:0055085
Gene07833			
Gene07834	K10268	PF13516.5	GO:0005515
Gene07835			
Gene07836		PF06454.10	
Gene07837			
Gene07838			
Gene07839			
Gene07840			
Gene07841			
Gene07842			
Gene07843		PF00156.26,PF14572.5	GO:0000287,GO:0004749,GO:0009116,GO:0009165
Gene07844			
Gene07845			
Gene07846		PF00225.22,PF16796.4	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene07847			
Gene07848	K13963	PF00079.19	
Gene07849	K15334		
Gene07850			
Gene07851		PF01582.19,PF13676.5	
Gene07852			
Gene07853	K01358		
Gene07854			
Gene07855			
Gene07856			
Gene07857	K05309	PF00043.24	
Gene07858		PF02178.18,PF02178.18,PF02178.18	GO:0003677
Gene07859		PF04572.11	
Gene07860			
Gene07861		PF00383.22,PF14437.5	GO:0002100,GO:0008251
Gene07862			
Gene07863			
Gene07864		PF01490.17,PF03222.12	GO:0003333
Gene07865		PF13041.5,PF01535.19,PF17177.3,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF01535.19,PF13041.5,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF01535.19	
Gene07866		PF00168.29	
Gene07867			
Gene07868		PF01490.17	
Gene07869		PF01237.17	
Gene07870			
Gene07871			
Gene07872			
Gene07873			
Gene07874			
Gene07875			
Gene07876			
Gene07877			
Gene07878			
